iter	Passed	Remaining
356	864	1557
357	866	1554
358	868	1551
359	870	1547
360	872	1544
361	875	1543
362	877	1540
363	879	1537
364	881	1533
365	883	1530
366	885	1527
367	887	1523
368	890	1521
369	893	1521
370	895	1518
371	897	1515
372	899	1512
373	901	1509
374	904	1506
375	907	1505
376	909	1502
377	911	1500
378	913	1496
379	914	1492
380	916	1488
381	918	1485
382	921	1484
383	924	1482
384	926	1479
385	927	1476
386	930	1473
387	932	1470
388	934	1467
389	937	1466
390	940	1465
391	943	1463
392	946	1461
393	948	1458
394	950	1456
395	954	1455
396	956	1453
397	959	1451
398	961	1448
399	963	1445
400	966	1443
401	969	1442
402	971	1439
403	973	1436
404	975	1433
405	977	1430
406	979	1427
407	982	1425
408	985	1424
409	988	1422
410	990	1419
411	992	1416
412	994	1413
413	997	1411
414	1000	1409
415	1002	1406
416	1004	1404
417	1007	1402
418	1009	1399
419	1011	1396
420	1013	1394
421	1017	1393
422	1020	1391
423	1023	1390
424	1026	1389
425	1029	1386
426	1037	1391
427	1040	1390
428	1043	1389
429	1047	1388
430	1049	1386
431	1053	1384
432	1055	1382
433	1058	1380
434	1062	1380
435	1065	1378
436	1068	1376
437	1070	1373
438	1073	1371
439	1075	1368
440	1078	1367
441	1081	1364
442	1083	1361
443	1085	1359
444	1087	1356
445	1089	1353
446	1092	1350
447	1095	1349
448	1097	1346
449	1100	1344
450	1102	1341
451	1104	1338
452	1106	1335
453	1109	1334
454	1112	1332
455	1114	1329
456	1116	1326
457	1119	1324
458	1121	1321
459	1123	1318
460	1126	1317
461	1129	1314
462	1131	1312
463	1133	1309
464	1135	1306
465	1138	1304
466	1141	1303
467	1143	1300
468	1146	1298
469	1148	1294
470	1150	1291
471	1151	1288
472	1154	1285
473	1157	1284
474	1159	1281
475	1161	1278
476	1163	1275
477	1165	1273
478	1167	1270
479	1170	1267
480	1172	1265
481	1175	1263
482	1177	1260
483	1179	1257
484	1181	1254
485	1183	1252
486	1186	1249
487	1189	1247
488	1191	1245
489	1194	1243
490	1196	1240
491	1198	1237
492	1199	1234
493	1203	1232
494	1205	1229
495	1207	1226
496	1209	1223
497	1211	1221
498	1214	1218
499	1215	1215
500	1219	1214
501	1222	1212
502	1224	1209
503	1226	1206
504	1228	1203
505	1230	1201
506	1233	1199
507	1236	1197
508	1238	1194
509	1240	1192
510	1242	1189
511	1243	1185
512	1245	1182
513	1248	1180
514	1252	1179
515	1255	1177
516	1258	1175
517	1261	1173
518	1265	1172
519	1268	1171
520	1272	1169
521	1275	1168
522	1280	1168
523	1284	1167
524	1287	1165
525	1290	1163
526	1292	1160
527	1295	1157
528	1298	1155
529	1300	1153
530	1302	1150
531	1303	1146
532	1305	1144
533	1307	1141
534	1310	1138
535	1313	1137
536	1316	1135
537	1318	1132
538	1320	1129
539	1322	1126
540	1325	1124
541	1329	1123
542	1331	1120
543	1333	1117
544	1335	1115
545	1337	1112
546	1340	1110
547	1343	1107
548	1346	1105
549	1348	1102
550	1349	1100
551	1351	1097
552	1359	1099
553	1362	1097
554	1365	1094
555	1367	1091
556	1369	1089
557	1371	1086
558	1373	1083
559	1376	1081
560	1378	1078
561	1380	1075
562	1382	1073
563	1385	1070
564	1387	1067
565	1389	1065
566	1392	1063
567	1394	1060
568	1396	1057
569	1398	1055
570	1400	1052
571	1403	1049
572	1405	1047
573	1409	1045
574	1411	1043
575	1413	1040
576	1416	1038
577	1418	1035
578	1420	1033
579	1424	1031
580	1425	1028
581	1428	1026
582	1430	1023
583	1432	1020
584	1434	1017
585	1436	1015
586	1439	1012
587	1440	1009
588	1442	1006
589	1445	1004
590	1448	1002
591	1451	1000
592	1454	998
593	1457	995
594	1459	993
595	1461	990
596	1463	987
597	1466	985
598	1469	983
599	1471	981
600	1472	977
601	1475	975
602	1477	972
603	1479	969
604	1481	967
605	1484	965
606	1487	962
607	1488	959
608	1489	956
609	1491	953
610	1494	951
611	1496	948
612	1498	946
613	1501	943
614	1504	941
615	1506	939
616	1508	936
617	1510	933
618	1512	931
619	1516	929
620	1518	926
621	1520	924
622	1523	921
623	1525	919
624	1527	916
625	1528	913
626	1531	911
627	1534	908
628	1536	906
629	1538	903
630	1541	901
631	1543	898
632	1545	895
633	1548	893
634	1551	891
635	1553	889
636	1555	886
637	1557	883
638	1559	881
639	1563	879
640	1565	876
641	1566	873
642	1568	870
643	1570	868
644	1572	865
645	1574	863
646	1577	860
647	1579	857
648	1581	855
649	1583	852
650	1585	849
651	1587	847
652	1589	844
653	1592	842
654	1596	841
655	1599	838
656	1602	836
657	1606	834
658	1610	833
659	1613	831
660	1615	828
661	1617	826
662	1619	823
663	1622	820
664	1625	819
665	1627	816
666	1630	813
667	1632	811
668	1634	808
669	1637	806
670	1641	804
671	1644	802
672	1646	799
673	1648	797
674	1650	794
675	1653	792
676	1655	789
677	1658	787
678	1659	784
679	1661	781
680	1662	778
681	1664	776
682	1666	773
683	1668	770
684	1671	768
685	1674	766
686	1675	763
687	1677	760
688	1680	758
689	1682	755
690	1684	753
691	1688	751
692	1691	749
693	1692	746
694	1695	744
695	1699	742
696	1702	740
697	1705	738
698	1709	735
699	1712	733
700	1715	731
701	1719	729
702	1721	727
703	1723	724
704	1726	722
705	1729	720
706	1732	718
707	1735	715
708	1738	713
709	1740	711
710	1742	708
711	1746	706
712	1749	704
713	1753	702
714	1755	699
715	1758	697
716	1761	695
717	1764	693
718	1767	690
719	1769	688
720	1772	685
721	1775	683
722	1777	680
723	1780	678
724	1784	676
725	1787	674
726	1790	672
727	1794	670
728	1797	668
729	1800	665
730	1803	663
731	1806	661
732	1810	659
733	1813	657
734	1816	655
735	1819	652
736	1822	650
737	1824	647
738	1827	645
739	1830	643
740	1832	640
741	1835	638
742	1838	636
743	1842	633
744	1844	631
745	1846	628
746	1849	626
747	1851	623
748	1853	621
749	1856	618
750	1859	616
751	1861	613
752	1862	611
753	1864	608
754	1868	606
755	1870	603
756	1873	601
757	1877	599
758	1879	596
759	1881	594
760	1883	591
761	1887	589
762	1890	587
763	1892	584
764	1894	581
765	1896	579
766	1898	576
767	1900	574
768	1903	571
769	1907	569
770	1909	567
771	1910	564
772	1912	561
773	1914	559
774	1917	556
775	1920	554
776	1923	552
777	1925	549
778	1927	546
779	1929	544
780	1932	541
781	1934	539
782	1937	536
783	1939	534
784	1942	532
785	1944	529
786	1946	526
787	1948	524
788	1952	522
789	1954	519
790	1956	516
791	1958	514
792	1961	511
793	1963	509
794	1966	506
795	1969	504
796	1971	502
797	1973	499
798	1975	496
799	1977	494
800	1980	492
801	1983	489
802	1985	487
803	1987	484
804	1989	481
805	1992	479
806	1994	476
807	1996	474
808	1999	472
809	2001	469
810	2003	466
811	2005	464
812	2009	462
813	2012	459
814	2016	457
815	2019	455
816	2022	453
817	2026	450
818	2030	448
819	2033	446
820	2037	444
821	2040	441
822	2042	439
823	2046	437
824	2050	434
825	2053	432
826	2056	430
827	2060	427
828	2064	425
829	2067	423
830	2070	421
831	2074	418
832	2077	416
833	2081	414
834	2084	411
835	2088	409
836	2092	407
837	2096	405
838	2099	402
839	2102	400
840	2105	398
841	2110	396
842	2112	393
843	2115	391
844	2118	388
845	2122	386
846	2125	383
847	2127	381
848	2130	378
849	2131	376
850	2133	373
851	2135	371
852	2139	368
853	2141	366
854	2143	363
855	2145	360
856	2148	358
857	2150	355
858	2152	353
859	2156	350
860	2158	348
861	2160	345
862	2162	343
863	2164	340
864	2166	338
865	2169	335
866	2173	333
867	2175	330
868	2177	328
869	2179	325
870	2181	323
871	2183	320
872	2187	318
873	2189	315
874	2191	313
875	2193	310
876	2195	307
877	2197	305
878	2200	302
879	2203	300
880	2206	297
881	2208	295
882	2210	292
883	2212	290
884	2214	287
885	2218	285
886	2220	282
887	2223	280
888	2225	277
889	2227	275
890	2230	272
891	2233	270
892	2235	267
893	2237	265
894	2239	262
895	2242	260
896	2244	257
897	2247	255
898	2250	252
899	2252	250
900	2254	247
901	2256	245
902	2258	242
903	2261	240
904	2264	237
905	2266	235
906	2269	232
907	2271	230
908	2273	227
909	2275	225
910	2278	222
911	2281	220
912	2283	217
913	2285	215
914	2287	212
915	2289	209
916	2292	207
917	2295	205
918	2297	202
919	2300	200
920	2302	197
921	2304	194
922	2306	192
923	2308	189
924	2311	187
925	2313	184
926	2315	182
927	2318	179
928	2320	177
929	2322	174
930	2325	172
931	2327	169
932	2329	167
933	2332	164
934	2334	162
935	2336	159
936	2339	157
937	2342	154
938	2345	152
939	2346	149
940	2348	147
941	2350	144
942	2352	142
943	2354	139
944	2357	137
945	2359	134
946	2361	132
947	2363	129
948	2365	127
949	2367	124
950	2369	122
951	2372	119
952	2375	117
953	2376	114
954	2378	112
955	2380	109
956	2383	107
957	2385	104
958	2388	102
959	2390	99
960	2392	97
961	2394	94
962	2396	92
963	2398	89
964	2400	87
965	2404	84
966	2406	82
967	2408	79
968	2411	77
969	2413	74
970	2415	72
971	2417	69
972	2420	67
973	2422	64
974	2424	62
975	2427	59
976	2429	57
977	2431	54
978	2434	52
979	2438	49
980	2440	47
981	2442	44
982	2444	42
983	2446	39
984	2449	37
985	2451	34
986	2453	32
987	2455	29
988	2457	27
989	2459	24
990	2461	22
991	2463	19
992	2467	17
993	2469	14
994	2471	12
995	2473	9
996	2475	7
997	2477	4
998	2479	2
999	2482	0
