iter	Logloss
0	0.6883592452
1	0.6838822363
2	0.6785693768
3	0.6738691837
4	0.6693816242
5	0.6642684815
6	0.6593104078
7	0.6548034871
8	0.6506727024
9	0.6462417248
10	0.64107552
11	0.6373517074
12	0.6327782812
13	0.6283508257
14	0.6239727699
15	0.6198763641
16	0.6156298999
17	0.6120196624
18	0.6091003385
19	0.6048962748
20	0.6016246006
21	0.5973499791
22	0.5933299126
23	0.5896228643
24	0.5859334575
25	0.5824483998
26	0.5787793079
27	0.5757100782
28	0.5720535738
29	0.5690211977
30	0.5656204986
31	0.5635470605
32	0.5603826887
33	0.5568626149
34	0.5533881936
35	0.5517595494
36	0.5484582771
37	0.5454618339
38	0.5425102116
39	0.5395098326
40	0.5365699454
41	0.5338453972
42	0.5313328949
43	0.5283918335
44	0.5258143707
45	0.5229449329
46	0.520008115
47	0.517355605
48	0.5153851555
49	0.5127320413
50	0.5105688299
51	0.5085360173
52	0.5063449106
53	0.5040229416
54	0.502206486
55	0.5005845458
56	0.4996099597
57	0.4973704038
58	0.4952111844
59	0.4930413651
60	0.4911607778
61	0.4888350183
62	0.4866423754
63	0.485709735
64	0.4840471981
65	0.4821592182
66	0.4801202918
67	0.4786445022
68	0.4765914117
69	0.474999717
70	0.472909138
71	0.4714014222
72	0.4694938677
73	0.4677900313
74	0.4664835073
75	0.4652676274
76	0.4640527887
77	0.4625394217
78	0.4612044096
79	0.4598486972
80	0.4586006208
81	0.4580110879
82	0.4562594877
83	0.4544954252
84	0.4528113265
85	0.4509354389
86	0.4498459
87	0.4489385105
88	0.447685731
89	0.4465164275
90	0.4450341869
91	0.4435302909
92	0.4426366566
93	0.4411247441
94	0.4403841305
95	0.4390211296
96	0.4379009648
97	0.4368631801
98	0.4361326276
99	0.4352070991
100	0.4337486464
101	0.4329802828
102	0.4317610265
103	0.4306536775
104	0.4302341397
105	0.428981838
106	0.4277193841
107	0.4263849361
108	0.4255837828
109	0.4245099243
110	0.4233441056
111	0.4226998426
112	0.4218418813
113	0.4208736072
114	0.4199947194
115	0.4196031935
116	0.4184413102
117	0.4176147501
118	0.4165128536
119	0.4156234985
120	0.4148221409
121	0.4137675185
122	0.4129263677
123	0.4121762917
124	0.4110885171
125	0.4103717736
126	0.4095197899
127	0.4089466164
128	0.4079688283
129	0.4072957673
130	0.4067549755
131	0.4061404494
132	0.4057775766
133	0.4046743848
134	0.40403523
135	0.4031600449
136	0.4026061026
137	0.4015198405
138	0.4007424426
139	0.399945071
140	0.3990569501
141	0.3983725068
142	0.3974159021
143	0.396809911
144	0.396156896
145	0.3954584082
146	0.3947986961
147	0.394141508
148	0.3937767927
149	0.3931420456
150	0.3925735783
151	0.3919435583
152	0.3911708939
153	0.3903807105
154	0.3897725222
155	0.3892033342
156	0.3886825047
157	0.3881632577
158	0.3873321654
159	0.386902571
160	0.3860827822
161	0.3854232231
162	0.3850765505
163	0.384479135
164	0.3839158467
165	0.3834093761
166	0.3828543589
167	0.3824269648
168	0.3817994668
169	0.3813432079
170	0.3810870628
171	0.3805664086
172	0.3800245376
173	0.3795967494
174	0.379179427
175	0.3785988024
176	0.3781101902
177	0.3776599309
178	0.3770214531
179	0.3764524528
180	0.3757558136
181	0.3754596206
182	0.3753577448
183	0.3747505027
184	0.3742377574
185	0.3737844025
186	0.3734568939
187	0.3729384053
188	0.372407802
189	0.3718934523
190	0.3714792864
191	0.3709522887
192	0.370390717
193	0.370256857
194	0.3697799241
195	0.3691789871
196	0.3688363406
197	0.3682333559
198	0.3676646631
199	0.3671056737
200	0.3667251249
201	0.3664905431
202	0.3661412762
203	0.3654860821
204	0.3650224164
205	0.3646185575
206	0.3642446897
207	0.3639501257
208	0.3636348278
209	0.3632719414
210	0.3626935444
211	0.3622955787
212	0.3620519094
213	0.3617163462
214	0.3613817246
215	0.3610359126
216	0.3607955259
217	0.3604551898
218	0.3599446934
219	0.3594718444
220	0.3591473129
221	0.3586382523
222	0.3584236136
223	0.3581485593
224	0.3578828165
225	0.3572812072
226	0.3569053321
227	0.3564021984
228	0.3558636782
229	0.3553887248
230	0.3551098456
231	0.3547749149
232	0.3541994224
233	0.353524573
234	0.3532652035
235	0.3530044171
236	0.3528639866
237	0.3527716836
238	0.3524495054
239	0.3520981811
240	0.3518769893
241	0.3514759275
242	0.3510676673
243	0.350854214
244	0.3502531728
245	0.3498878205
246	0.3492842846
247	0.3489481556
248	0.3487058213
249	0.3484878387
250	0.3484554803
251	0.3483533191
252	0.3480887309
253	0.3477575461
254	0.3477209034
255	0.3475067107
256	0.3472154889
257	0.3470305939
258	0.3465618492
259	0.3462107382
260	0.3460456462
261	0.345786038
262	0.3456159428
263	0.3453911116
264	0.3449220912
265	0.3446437297
266	0.3442987699
267	0.3439953668
268	0.3438025449
269	0.3436028567
270	0.3433523203
271	0.3430235329
272	0.3427593664
273	0.3424083817
274	0.342095028
275	0.3418663423
276	0.3415856894
277	0.3413764676
278	0.3409466163
279	0.3405726156
280	0.3404155813
281	0.3402541769
282	0.3399074765
283	0.3396702087
284	0.3393795924
285	0.3392291595
286	0.3389386083
287	0.338821803
288	0.338520527
289	0.3381489441
290	0.3378532948
291	0.3374478171
292	0.3372073732
293	0.3370540902
294	0.336740509
295	0.336445073
296	0.3362119847
297	0.3360640659
298	0.3357479444
299	0.3354977389
300	0.3353033187
301	0.3350441628
302	0.3348605817
303	0.3346069988
304	0.3343828511
305	0.3341644142
306	0.3339608399
307	0.3338210361
308	0.3336307589
309	0.3335169706
310	0.3333372944
311	0.3330796633
312	0.332850973
313	0.3326104495
314	0.3323392633
315	0.3319931278
316	0.3319240064
317	0.3314597164
318	0.3310413717
319	0.3310282748
320	0.3306260332
321	0.330511674
322	0.3303000221
323	0.3299494553
324	0.3295945975
325	0.3294045545
326	0.329283332
327	0.3290910809
328	0.3289127154
329	0.3286805002
330	0.3284763457
331	0.3282724316
332	0.3281443689
333	0.328072994
334	0.3277446992
335	0.3274850443
336	0.3273717677
337	0.3271605599
338	0.3270695157
339	0.326971374
340	0.3268549706
341	0.3266147731
342	0.3263905838
343	0.3260883997
344	0.3260462107
345	0.3259078282
346	0.3257819616
347	0.3256214989
348	0.3252661671
349	0.3250401479
350	0.3248940657
351	0.3246253446
352	0.3244040371
353	0.3242014897
354	0.3241752752
355	0.3240629359
356	0.3238506894
357	0.3237067587
358	0.3235259732
359	0.3233366685
360	0.3231972802
361	0.3229880816
362	0.322900967
363	0.3227237352
364	0.3226073491
365	0.3224605654
366	0.3222959605
367	0.3221378383
368	0.321906558
369	0.3216950642
370	0.3215600938
371	0.3213377434
372	0.3211356556
373	0.3209542828
374	0.3207377781
375	0.3205898694
376	0.3202131973
377	0.3200694357
378	0.3200246587
379	0.3199193407
380	0.3197593589
381	0.3196365936
382	0.3194524642
383	0.3191565734
384	0.3190312043
385	0.3188743286
386	0.3185555426
387	0.3182951166
388	0.3181068807
389	0.3178476439
390	0.3176453286
391	0.3175086923
392	0.3173400007
393	0.3171853189
394	0.3170617586
395	0.3167705662
396	0.3166654207
397	0.3165319597
398	0.3164116612
399	0.3162709795
400	0.3160025129
401	0.3158086725
402	0.3156318451
403	0.3155410466
404	0.3153697573
405	0.3151222559
406	0.3149260478
407	0.3148089805
408	0.314558367
409	0.3144294873
410	0.3142505589
411	0.3139674805
412	0.3136450316
413	0.3133771815
414	0.3133085298
415	0.3132800189
416	0.3131094688
417	0.3128746772
418	0.3127508659
419	0.3126521466
420	0.3124752478
421	0.3123254817
422	0.3121218444
423	0.311908576
424	0.3117051501
425	0.3115790986
426	0.31149124
427	0.3114257722
428	0.3112721519
429	0.3112008746
430	0.3110321515
431	0.3108860582
432	0.3106612198
433	0.3105552758
434	0.3103435681
435	0.3101837476
436	0.3099182282
437	0.3097821854
438	0.3095917028
439	0.3095108309
440	0.3093983691
441	0.3092729423
442	0.3091861215
443	0.3089677864
444	0.3088676988
445	0.3086883942
446	0.308487359
447	0.3081515873
448	0.3080273691
449	0.3079114889
450	0.3077290265
451	0.3075532033
452	0.3073738502
453	0.307216263
454	0.3070668593
455	0.3069399111
456	0.3068629225
457	0.3067085991
458	0.3065797944
459	0.3064625895
460	0.3063104
461	0.306170357
462	0.3060148653
463	0.3057008435
464	0.3056036283
465	0.3053974447
466	0.3052366992
467	0.3050921405
468	0.3048451951
469	0.3047441584
470	0.3046843018
471	0.3045191813
472	0.3042243776
473	0.3041139513
474	0.3039038361
475	0.303747636
476	0.3035924574
477	0.3033525468
478	0.3032195936
479	0.3031139312
480	0.3030609085
481	0.3029672165
482	0.3028306185
483	0.3026912247
484	0.3025059335
485	0.3024084406
486	0.3022687317
487	0.3021283748
488	0.3020383765
489	0.3019461965
490	0.3019021639
491	0.301757512
492	0.301645577
493	0.3015357306
494	0.3013684312
495	0.3011224506
496	0.3010716772
497	0.3008591707
498	0.3008058682
499	0.3006275315
500	0.3004756767
501	0.3003330007
502	0.3002179132
503	0.3000653785
504	0.2999891647
505	0.2999176549
506	0.2997252477
507	0.2996338182
508	0.2994569905
509	0.2993876193
510	0.2992559206
511	0.2991871683
512	0.2990802323
513	0.2990143628
514	0.2988989779
515	0.2988013976
516	0.2986577635
517	0.2985092177
518	0.2983083958
519	0.2981621442
520	0.2980587745
521	0.2979036873
522	0.2976406959
523	0.2975549394
524	0.2974591093
525	0.29726998
526	0.2971400541
527	0.2967955655
528	0.296712495
529	0.2966127997
530	0.296475505
531	0.2964481866
532	0.2963066041
533	0.2961435923
534	0.2960352743
535	0.29595222
536	0.2958468234
537	0.2957261404
538	0.2956142453
539	0.2954791383
540	0.2953529634
541	0.2952721716
542	0.2951118934
543	0.2949916765
544	0.2948503906
545	0.2947605697
546	0.2946859471
547	0.2945990568
548	0.2944153457
549	0.2943058934
550	0.2941908306
551	0.2940095629
552	0.2938625668
553	0.2936604369
554	0.2935761797
555	0.293498347
556	0.2933947503
557	0.2932288294
558	0.2932111786
559	0.2931389457
560	0.2929449265
561	0.2927266801
562	0.2926590838
563	0.2925708313
564	0.2924419864
565	0.292323704
566	0.2922226954
567	0.292064716
568	0.2919364185
569	0.2918646517
570	0.2918042049
571	0.2915931965
572	0.2913379388
573	0.2912040751
574	0.2911115402
575	0.2909860684
576	0.2909010669
577	0.2908260977
578	0.2907549869
579	0.2905169433
580	0.2903364924
581	0.2901977974
582	0.2901487888
583	0.2901199268
584	0.28998886
585	0.2898547548
586	0.2898248282
587	0.2897521515
588	0.2896188586
589	0.2895554911
590	0.2893369976
591	0.2892806379
592	0.2891251471
593	0.2889753401
594	0.288908817
595	0.2888356609
596	0.2887464986
597	0.2886695144
598	0.2885302718
599	0.2884718969
600	0.2884565048
601	0.288289584
602	0.2881889944
603	0.2880351051
604	0.2879355298
605	0.2878161766
606	0.2877448816
607	0.2877432349
608	0.2877241418
609	0.2876186315
610	0.2874458996
611	0.2872836104
612	0.2871584509
613	0.2870560876
614	0.286893268
615	0.2866424341
616	0.2865551377
617	0.2864713838
618	0.2862639106
619	0.2861934995
620	0.2861301854
621	0.2860178549
622	0.2858237737
623	0.285617383
624	0.2854883702
625	0.2854580858
626	0.285344528
627	0.2852964577
628	0.2851955841
629	0.2850918828
630	0.2849712527
631	0.2848964468
632	0.2847069093
633	0.2846556757
634	0.2845135808
635	0.2843991743
636	0.2843181935
637	0.2841483458
638	0.2840418906
639	0.283951115
640	0.2838992954
641	0.2838947164
642	0.2838354672
643	0.2837363379
644	0.2836290597
645	0.2835478272
646	0.2834887562
647	0.2834644762
648	0.2832953931
649	0.2831970651
650	0.2831442941
651	0.283019542
652	0.2828798225
653	0.2827930083
654	0.2827250461
655	0.2826699484
656	0.2825642548
657	0.2824644911
658	0.2823727397
659	0.2822292853
660	0.2821316975
661	0.281843744
662	0.2817282697
663	0.2816467108
664	0.2814840408
665	0.2812929902
666	0.2810276765
667	0.2809788145
668	0.2809535323
669	0.2808046091
670	0.2807009258
671	0.2805482871
672	0.2804645673
673	0.2803442455
674	0.2802406242
675	0.2800943429
676	0.2799925619
677	0.2798127677
678	0.2798088808
679	0.2797263029
680	0.2796989808
681	0.279593208
682	0.2795083425
683	0.2794345018
684	0.2793427195
685	0.2792647427
686	0.2791883597
687	0.2791773674
688	0.2790452162
689	0.2788704559
690	0.2788032731
691	0.2786642243
692	0.2785945677
693	0.2785903634
694	0.2785036946
695	0.2783942792
696	0.2781232234
697	0.2780032508
698	0.2779586685
699	0.2777880346
700	0.2776690127
701	0.2775496103
702	0.2774622571
703	0.2773866096
704	0.2772911077
705	0.2771667303
706	0.2770679283
707	0.2769497912
708	0.2768861087
709	0.2767567136
710	0.2766835151
711	0.2765427107
712	0.276451127
713	0.2763330071
714	0.2762704259
715	0.2762106439
716	0.2761165968
717	0.2760303526
718	0.2759253475
719	0.2759175152
720	0.2757636332
721	0.2756819209
722	0.2756089017
723	0.2755155259
724	0.275406929
725	0.2752944344
726	0.2751285882
727	0.2750599972
728	0.2749895941
729	0.2747776981
730	0.2746524442
731	0.274553694
732	0.2744990081
733	0.2744221669
734	0.2742761796
735	0.2741470811
736	0.2740529973
737	0.2738836981
738	0.2738291375
739	0.2737149765
740	0.273624916
741	0.2735398193
742	0.2734869789
743	0.2733680519
744	0.273299942
745	0.273224726
746	0.2730782449
747	0.2730324222
748	0.2729569657
749	0.272820595
750	0.2727109055
751	0.2726558918
752	0.2726514464
753	0.2724940769
754	0.2723508141
755	0.2722531512
756	0.2721798356
757	0.2720839445
758	0.2719750564
759	0.2718090759
760	0.2716726177
761	0.2714661807
762	0.2713836272
763	0.271342122
764	0.2712681184
765	0.2711487588
766	0.271056661
767	0.2709381175
768	0.2708944724
769	0.2707890096
770	0.2707335578
771	0.2707277207
772	0.2705819919
773	0.2704760595
774	0.2704321625
775	0.2703777441
776	0.2703034811
777	0.2701469887
778	0.2700965959
779	0.269995507
780	0.2699310334
781	0.2698697818
782	0.2697761252
783	0.2697122611
784	0.2696661741
785	0.2695759058
786	0.2694782043
787	0.2693844201
788	0.2692637131
789	0.2691940957
790	0.2691161029
791	0.2690147945
792	0.2689758478
793	0.2687699354
794	0.2686760381
795	0.2685906184
796	0.2685094076
797	0.268405308
798	0.2682546589
799	0.2681481324
800	0.2680503524
801	0.2679467791
802	0.2679054113
803	0.2677848362
804	0.2677036392
805	0.2676272993
806	0.2675530504
807	0.2674935966
808	0.2672914691
